"","date","state","cases"
"119",2020-05-19,"Alabama",12825
"120",2020-05-20,"Alabama",13186
"121",2020-05-21,"Alabama",13590
"122",2020-05-22,"Alabama",13954
"123",2020-05-23,"Alabama",14328
"124",2020-05-24,"Alabama",14676
"125",2020-05-25,"Alabama",15309
"126",2020-05-26,"Alabama",15899
"127",2020-05-27,"Alabama",16263
"128",2020-05-28,"Alabama",16749
"129",2020-05-29,"Alabama",17262
"130",2020-05-30,"Alabama",17689
"131",2020-05-31,"Alabama",18200
"132",2020-06-01,"Alabama",18525
"133",2020-06-02,"Alabama",18734
"134",2020-06-03,"Alabama",18954
"135",2020-06-04,"Alabama",19262
"136",2020-06-05,"Alabama",19910
"137",2020-06-06,"Alabama",20355
"138",2020-06-07,"Alabama",20777
"139",2020-06-08,"Alabama",21268
"140",2020-06-09,"Alabama",21834
"141",2020-06-10,"Alabama",22659
"142",2020-06-11,"Alabama",23370
"143",2020-06-12,"Alabama",24405
"144",2020-06-13,"Alabama",25364
"145",2020-06-14,"Alabama",26182
"146",2020-06-15,"Alabama",26485
"147",2020-06-16,"Alabama",27034
"148",2020-06-17,"Alabama",27941
"149",2020-06-18,"Alabama",28676
"150",2020-06-19,"Alabama",29225
"151",2020-06-20,"Alabama",29683
"152",2020-06-21,"Alabama",30122
"153",2020-06-22,"Alabama",30771
"154",2020-06-23,"Alabama",31889
"155",2020-06-24,"Alabama",32878
"156",2020-06-25,"Alabama",33880
"157",2020-06-26,"Alabama",34903
"158",2020-06-27,"Alabama",35083
"159",2020-06-28,"Alabama",36503
"160",2020-06-29,"Alabama",37589
"161",2020-06-30,"Alabama",38477
"162",2020-07-01,"Alabama",39647
"163",2020-07-02,"Alabama",41340
"164",2020-07-03,"Alabama",42255
"165",2020-07-04,"Alabama",43216
"166",2020-07-05,"Alabama",44022
"167",2020-07-06,"Alabama",44932
"168",2020-07-07,"Alabama",46348
"169",2020-07-08,"Alabama",48149
"170",2020-07-09,"Alabama",49695
"171",2020-07-10,"Alabama",51329
"172",2020-07-11,"Alabama",52802
"173",2020-07-12,"Alabama",54781
"174",2020-07-13,"Alabama",56168
"175",2020-07-14,"Alabama",58284
"176",2020-07-15,"Alabama",60194
"177",2020-07-16,"Alabama",62128
"178",2020-07-17,"Alabama",64152
"179",2020-07-18,"Alabama",66181
"180",2020-07-19,"Alabama",67733
"181",2020-07-20,"Alabama",69236
"182",2020-07-21,"Alabama",70600
"183",2020-07-22,"Alabama",72594
"184",2020-07-23,"Alabama",74685
"185",2020-07-24,"Alabama",76795
"186",2020-07-25,"Alabama",78188
"187",2020-07-26,"Alabama",79948
"188",2020-07-27,"Alabama",81256
"189",2020-07-28,"Alabama",82698
"190",2020-07-29,"Alabama",84652
"191",2020-07-30,"Alabama",86664
"192",2020-07-31,"Alabama",88266
"193",2020-08-01,"Alabama",90299
"194",2020-08-02,"Alabama",91458
"195",2020-08-03,"Alabama",92502
"196",2020-08-04,"Alabama",93457
"197",2020-08-05,"Alabama",95323
"198",2020-08-06,"Alabama",97044
"199",2020-08-07,"Alabama",98895
"200",2020-08-08,"Alabama",99854
"201",2020-08-09,"Alabama",101466
"202",2020-08-10,"Alabama",102391
"203",2020-08-11,"Alabama",103485
"204",2020-08-12,"Alabama",104219
"205",2020-08-13,"Alabama",104976
"206",2020-08-14,"Alabama",106096
"207",2020-08-15,"Alabama",106926
"208",2020-08-16,"Alabama",107667
"209",2020-08-17,"Alabama",109092
"210",2020-08-18,"Alabama",110415
"211",2020-08-19,"Alabama",111696
"212",2020-08-20,"Alabama",112737
"213",2020-08-21,"Alabama",114212
"214",2020-08-22,"Alabama",114809
"215",2020-08-23,"Alabama",115485
"216",2020-08-24,"Alabama",116045
"217",2020-08-25,"Alabama",118190
"218",2020-08-26,"Alabama",119904
"219",2020-08-27,"Alabama",121041
"220",2020-08-28,"Alabama",122879
"221",2020-08-29,"Alabama",124155
"222",2020-08-30,"Alabama",124944
"223",2020-08-31,"Alabama",126500
"224",2020-09-01,"Alabama",127234
"225",2020-09-02,"Alabama",128240
"226",2020-09-03,"Alabama",129225
"227",2020-09-04,"Alabama",130373
"228",2020-09-05,"Alabama",130914
"229",2020-09-06,"Alabama",131690
"230",2020-09-07,"Alabama",132221
"231",2020-09-08,"Alabama",133005
"232",2020-09-09,"Alabama",134061
"233",2020-09-10,"Alabama",135138
"234",2020-09-11,"Alabama",136107
"235",2020-09-12,"Alabama",137166
"236",2020-09-13,"Alabama",137861
"237",2020-09-14,"Alabama",138619
"238",2020-09-15,"Alabama",139660
"239",2020-09-16,"Alabama",140423
"240",2020-09-17,"Alabama",141454
"241",2020-09-18,"Alabama",142768
"242",2020-09-19,"Alabama",143578
"243",2020-09-20,"Alabama",144325
"244",2020-09-21,"Alabama",145202
"245",2020-09-22,"Alabama",145859
"246",2020-09-23,"Alabama",146897
"247",2020-09-24,"Alabama",149263
"248",2020-09-25,"Alabama",150239
"249",2020-09-26,"Alabama",150965
"250",2020-09-27,"Alabama",151604
"251",2020-09-28,"Alabama",152350
"252",2020-09-29,"Alabama",153584
"253",2020-09-30,"Alabama",154772
"254",2020-10-01,"Alabama",155727
"255",2020-10-02,"Alabama",157402
"256",2020-10-03,"Alabama",158181
"257",2020-10-04,"Alabama",158717
"258",2020-10-05,"Alabama",159476
"259",2020-10-06,"Alabama",160485
"260",2020-10-07,"Alabama",161085
"261",2020-10-08,"Alabama",162683
"262",2020-10-09,"Alabama",163897
"263",2020-10-10,"Alabama",164698
"264",2020-10-11,"Alabama",165414
"265",2020-10-12,"Alabama",166514
"266",2020-10-13,"Alabama",167396
"267",2020-10-14,"Alabama",168620
"268",2020-10-15,"Alabama",169845
"269",2020-10-16,"Alabama",171157
"270",2020-10-17,"Alabama",172137
"271",2020-10-18,"Alabama",173002
"272",2020-10-19,"Alabama",174078
"273",2020-10-20,"Alabama",175210
"274",2020-10-21,"Alabama",176605
"275",2020-10-22,"Alabama",180437
"276",2020-10-23,"Alabama",182567
"277",2020-10-24,"Alabama",183831
"278",2020-10-25,"Alabama",184723
"279",2020-10-26,"Alabama",185938
"280",2020-10-27,"Alabama",187267
"281",2020-10-28,"Alabama",188775
"282",2020-10-29,"Alabama",190113
"283",2020-10-30,"Alabama",191932
"284",2020-10-31,"Alabama",193613
"285",2020-11-01,"Alabama",194458
"286",2020-11-02,"Alabama",195692
"287",2020-11-03,"Alabama",197504
"288",2020-11-04,"Alabama",198927
"289",2020-11-05,"Alabama",200528
"290",2020-11-06,"Alabama",202131
"291",2020-11-07,"Alabama",203518
"292",2020-11-08,"Alabama",204665
"293",2020-11-09,"Alabama",206523
"294",2020-11-10,"Alabama",206562
"295",2020-11-11,"Alabama",208637
"296",2020-11-12,"Alabama",210637
"297",2020-11-13,"Alabama",213617
"298",2020-11-14,"Alabama",215843
"299",2020-11-15,"Alabama",217822
"300",2020-11-16,"Alabama",219232
"301",2020-11-17,"Alabama",220848
"302",2020-11-18,"Alabama",223486
"303",2020-11-19,"Alabama",225910
"304",2020-11-20,"Alabama",228373
"305",2020-11-21,"Alabama",230708
"306",2020-11-22,"Alabama",232506
"307",2020-11-23,"Alabama",234080
"308",2020-11-24,"Alabama",236865
"309",2020-11-25,"Alabama",239318
"310",2020-11-26,"Alabama",241957
"311",2020-11-27,"Alabama",242874
"312",2020-11-28,"Alabama",244993
"313",2020-11-29,"Alabama",247229
"314",2020-11-30,"Alabama",249524
"315",2020-12-01,"Alabama",252900
"316",2020-12-02,"Alabama",256828
"317",2020-12-03,"Alabama",260359
"318",2020-12-04,"Alabama",264199
"319",2020-12-05,"Alabama",267589
"320",2020-12-06,"Alabama",269877
"321",2020-12-07,"Alabama",272229
"322",2020-12-08,"Alabama",276665
"323",2020-12-09,"Alabama",280187
"324",2020-12-10,"Alabama",284922
"325",2020-12-11,"Alabama",288775
"326",2020-12-12,"Alabama",292841
"327",2020-12-13,"Alabama",295631
"328",2020-12-14,"Alabama",297895
"329",2020-12-15,"Alabama",301533
"330",2020-12-16,"Alabama",305640
"331",2020-12-17,"Alabama",310335
"332",2020-12-18,"Alabama",315683
"333",2020-12-19,"Alabama",319904
"334",2020-12-20,"Alabama",322452
"335",2020-12-21,"Alabama",324832
"336",2020-12-22,"Alabama",329811
"337",2020-12-23,"Alabama",334569
"338",2020-12-24,"Alabama",338801
"339",2020-12-25,"Alabama",342426
"340",2020-12-26,"Alabama",343458
"341",2020-12-27,"Alabama",345628
"342",2020-12-28,"Alabama",347897
"343",2020-12-29,"Alabama",351804
"344",2020-12-30,"Alabama",356820
"345",2020-12-31,"Alabama",361226
"346",2021-01-01,"Alabama",365747
"347",2021-01-02,"Alabama",369458
"348",2021-01-03,"Alabama",371934
"349",2021-01-04,"Alabama",374095
"350",2021-01-05,"Alabama",379593
"351",2021-01-06,"Alabama",384184
"352",2021-01-07,"Alabama",389230
"353",2021-01-08,"Alabama",394287
"354",2021-01-09,"Alabama",399150
"355",2021-01-10,"Alabama",401900
"356",2021-01-11,"Alabama",404000
"357",2021-01-12,"Alabama",407848
"358",2021-01-13,"Alabama",410995
"359",2021-01-14,"Alabama",414583
"360",2021-01-15,"Alabama",417528
"361",2021-01-16,"Alabama",420681
"362",2021-01-17,"Alabama",422598
"363",2021-01-18,"Alabama",424028
"364",2021-01-19,"Alabama",426543
"365",2021-01-20,"Alabama",429655
"366",2021-01-21,"Alabama",432536
"367",2021-01-22,"Alabama",436087
"368",2021-01-23,"Alabama",439442
"369",2021-01-24,"Alabama",441170
"370",2021-01-25,"Alabama",443009
"371",2021-01-26,"Alabama",445909
"372",2021-01-27,"Alabama",449086
"373",2021-01-28,"Alabama",452734
"374",2021-01-29,"Alabama",455582
"375",2021-01-30,"Alabama",455582
"376",2021-01-31,"Alabama",459639
"377",2021-02-01,"Alabama",460860
"378",2021-02-02,"Alabama",462938
"379",2021-02-03,"Alabama",465056
"380",2021-02-04,"Alabama",467823
"381",2021-02-05,"Alabama",469319
"382",2021-02-06,"Alabama",471311
"383",2021-02-07,"Alabama",472423
"384",2021-02-08,"Alabama",473348
"385",2021-02-09,"Alabama",474666
"386",2021-02-10,"Alabama",476067
"387",2021-02-11,"Alabama",477570
"388",2021-02-12,"Alabama",478667
"389",2021-02-13,"Alabama",479856
"390",2021-02-14,"Alabama",480931
"391",2021-02-15,"Alabama",481605
"392",2021-02-16,"Alabama",482488
"393",2021-02-17,"Alabama",483167
"394",2021-02-18,"Alabama",484365
"395",2021-02-19,"Alabama",485212
"396",2021-02-20,"Alabama",485986
"397",2021-02-21,"Alabama",486843
"398",2021-02-22,"Alabama",487520
"399",2021-02-23,"Alabama",488973
"400",2021-02-24,"Alabama",490220
"401",2021-02-25,"Alabama",491110
"402",2021-02-26,"Alabama",491849
"403",2021-02-27,"Alabama",492683
"404",2021-02-28,"Alabama",493252
"405",2021-03-01,"Alabama",493769
"406",2021-03-02,"Alabama",494421
"407",2021-03-03,"Alabama",497154
"408",2021-03-04,"Alabama",498076
"409",2021-03-05,"Alabama",498887
"410",2021-03-06,"Alabama",499411
"411",2021-03-07,"Alabama",499819
"412",2021-03-08,"Alabama",500092
"413",2021-03-09,"Alabama",500616
"414",2021-03-10,"Alabama",501398
"415",2021-03-11,"Alabama",502263
"416",2021-03-12,"Alabama",502711
"417",2021-03-13,"Alabama",503305
"418",2021-03-14,"Alabama",503673
"419",2021-03-15,"Alabama",508229
"420",2021-03-16,"Alabama",508717
"421",2021-03-17,"Alabama",509476
"422",2021-03-18,"Alabama",510048
"423",2021-03-19,"Alabama",510579
"424",2021-03-20,"Alabama",511087
"425",2021-03-21,"Alabama",511460
"426",2021-03-22,"Alabama",511779
"427",2021-03-23,"Alabama",511789
"428",2021-03-24,"Alabama",512711
"429",2021-03-25,"Alabama",513138
"430",2021-03-26,"Alabama",513580
"431",2021-03-27,"Alabama",514072
"432",2021-03-28,"Alabama",514391
"433",2021-03-29,"Alabama",514619
"434",2021-03-30,"Alabama",514980
"435",2021-03-31,"Alabama",515388
"436",2021-04-01,"Alabama",515866
"437",2021-04-02,"Alabama",516266
"438",2021-04-03,"Alabama",516615
"439",2021-04-04,"Alabama",516809
"440",2021-04-05,"Alabama",516918
"441",2021-04-06,"Alabama",517114
"442",2021-04-07,"Alabama",517452
"443",2021-04-08,"Alabama",517916
"444",2021-04-09,"Alabama",518234
"445",2021-04-10,"Alabama",518588
"446",2021-04-11,"Alabama",518899
"447",2021-04-12,"Alabama",519071
"448",2021-04-13,"Alabama",520503
"449",2021-04-14,"Alabama",520780
"450",2021-04-15,"Alabama",521201
"451",2021-04-16,"Alabama",521623
"452",2021-04-17,"Alabama",522131
"453",2021-04-18,"Alabama",522401
"454",2021-04-19,"Alabama",522512
"455",2021-04-20,"Alabama",523955
"456",2021-04-21,"Alabama",524367
"457",2021-04-22,"Alabama",525049
"458",2021-04-23,"Alabama",525477
"459",2021-04-24,"Alabama",525898
"460",2021-04-25,"Alabama",526131
"461",2021-04-26,"Alabama",526348
"462",2021-04-27,"Alabama",526707
"463",2021-04-28,"Alabama",527083
"464",2021-04-29,"Alabama",527513
"465",2021-04-30,"Alabama",527922
"466",2021-05-01,"Alabama",528309
"467",2021-05-02,"Alabama",528597
"468",2021-05-03,"Alabama",528784
"469",2021-05-04,"Alabama",528784
"470",2021-05-05,"Alabama",529446
"471",2021-05-06,"Alabama",530011
"472",2021-05-07,"Alabama",530325
"473",2021-05-08,"Alabama",530744
"474",2021-05-09,"Alabama",530988
"475",2021-05-10,"Alabama",531094
"476",2021-05-11,"Alabama",531404
"477",2021-05-12,"Alabama",531751
"478",2021-05-13,"Alabama",532895
"479",2021-05-14,"Alabama",537813
"480",2021-05-15,"Alabama",539829
"481",2021-05-16,"Alabama",540083
"482",2021-05-17,"Alabama",540267
"483",2021-05-18,"Alabama",540603
"484",2021-05-19,"Alabama",540891
"485",2021-05-20,"Alabama",541230
"486",2021-05-21,"Alabama",541673
"487",2021-05-22,"Alabama",541928
"488",2021-05-23,"Alabama",542124
"489",2021-05-24,"Alabama",542256
"490",2021-05-25,"Alabama",542562
"491",2021-05-26,"Alabama",542831
"492",2021-05-27,"Alabama",543177
"493",2021-05-28,"Alabama",543405
"494",2021-05-29,"Alabama",543405
"495",2021-05-30,"Alabama",543405
"496",2021-05-31,"Alabama",543405
"497",2021-06-01,"Alabama",544045
"498",2021-06-02,"Alabama",544598
"499",2021-06-03,"Alabama",545028
"500",2021-06-04,"Alabama",545585
"501",2021-06-05,"Alabama",545585
"502",2021-06-06,"Alabama",545585
"503",2021-06-07,"Alabama",546324
"504",2021-06-08,"Alabama",546540
"505",2021-06-09,"Alabama",546845
"506",2021-06-10,"Alabama",547135
"507",2021-06-11,"Alabama",547323
"508",2021-06-12,"Alabama",547323
"509",2021-06-13,"Alabama",547323
"510",2021-06-14,"Alabama",547873
"511",2021-06-15,"Alabama",548163
"512",2021-06-16,"Alabama",548323
"513",2021-06-17,"Alabama",548323
"514",2021-06-18,"Alabama",548657
"515",2021-06-19,"Alabama",548657
"516",2021-06-20,"Alabama",548657
"517",2021-06-21,"Alabama",549013
"518",2021-06-22,"Alabama",549013
"519",2021-06-23,"Alabama",549394
"520",2021-06-24,"Alabama",549394
"521",2021-06-25,"Alabama",549934
"522",2021-06-26,"Alabama",549934
"523",2021-06-27,"Alabama",549934
"524",2021-06-28,"Alabama",550451
"525",2021-06-29,"Alabama",550451
"526",2021-06-30,"Alabama",550983
"527",2021-07-01,"Alabama",550983
"528",2021-07-02,"Alabama",551298
"529",2021-07-03,"Alabama",551298
"530",2021-07-04,"Alabama",551298
"531",2021-07-05,"Alabama",551298
"532",2021-07-06,"Alabama",551298
"533",2021-07-07,"Alabama",552911
"534",2021-07-08,"Alabama",552911
"535",2021-07-09,"Alabama",554071
"536",2021-07-10,"Alabama",554605
"537",2021-07-11,"Alabama",554605
"538",2021-07-12,"Alabama",555215
"539",2021-07-13,"Alabama",555215
"540",2021-07-14,"Alabama",556613
"541",2021-07-15,"Alabama",557578
"542",2021-07-16,"Alabama",558577
"543",2021-07-17,"Alabama",559478
"544",2021-07-18,"Alabama",560202
"545",2021-07-19,"Alabama",560920
"546",2021-07-20,"Alabama",562311
"547",2021-07-21,"Alabama",563943
"548",2021-07-22,"Alabama",565510
"549",2021-07-23,"Alabama",567243
"550",2021-07-24,"Alabama",569131
"551",2021-07-25,"Alabama",570667
"552",2021-07-26,"Alabama",572070
"553",2021-07-27,"Alabama",574737
"554",2021-07-28,"Alabama",577463
"555",2021-07-29,"Alabama",577463
"556",2021-07-30,"Alabama",577463
"557",2021-07-31,"Alabama",585607
"558",2021-08-01,"Alabama",587405
"559",2021-08-02,"Alabama",589110
"560",2021-08-03,"Alabama",592417
"561",2021-08-04,"Alabama",595816
"562",2021-08-05,"Alabama",599633
"563",2021-08-06,"Alabama",603318
"564",2021-08-07,"Alabama",607209
"565",2021-08-08,"Alabama",607209
"566",2021-08-09,"Alabama",612086
"567",2021-08-10,"Alabama",615901
"568",2021-08-11,"Alabama",619752
"569",2021-08-12,"Alabama",623919
"570",2021-08-13,"Alabama",627905
"571",2021-08-14,"Alabama",627905
"572",2021-08-15,"Alabama",634897
"573",2021-08-16,"Alabama",637363
"574",2020-01-22,"Alaska",0
"575",2020-01-23,"Alaska",0
"576",2020-01-24,"Alaska",0
"577",2020-01-25,"Alaska",0
"578",2020-01-26,"Alaska",0
"579",2020-01-27,"Alaska",0
"580",2020-01-28,"Alaska",0
"581",2020-01-29,"Alaska",0
"582",2020-01-30,"Alaska",0
"583",2020-01-31,"Alaska",0
"584",2020-02-01,"Alaska",0
"585",2020-02-02,"Alaska",0
"586",2020-02-03,"Alaska",0
"587",2020-02-04,"Alaska",0
"588",2020-02-05,"Alaska",0
"589",2020-02-06,"Alaska",0
"590",2020-02-07,"Alaska",0
"591",2020-02-08,"Alaska",0
"592",2020-02-09,"Alaska",0
"593",2020-02-10,"Alaska",0
"594",2020-02-11,"Alaska",0
"595",2020-02-12,"Alaska",0
"596",2020-02-13,"Alaska",0
"597",2020-02-14,"Alaska",0
"598",2020-02-15,"Alaska",0
"599",2020-02-16,"Alaska",0
"600",2020-02-17,"Alaska",0
"601",2020-02-18,"Alaska",0
"602",2020-02-19,"Alaska",0
"603",2020-02-20,"Alaska",0
"604",2020-02-21,"Alaska",0
"605",2020-02-22,"Alaska",0
"606",2020-02-23,"Alaska",0
"607",2020-02-24,"Alaska",0
"608",2020-02-25,"Alaska",0
"609",2020-02-26,"Alaska",0
"610",2020-02-27,"Alaska",0
"611",2020-02-28,"Alaska",0
"612",2020-02-29,"Alaska",0
"613",2020-03-01,"Alaska",0
"614",2020-03-02,"Alaska",0
"615",2020-03-03,"Alaska",0
"616",2020-03-04,"Alaska",0
"617",2020-03-05,"Alaska",0
"618",2020-03-06,"Alaska",0
"619",2020-03-07,"Alaska",0
"620",2020-03-08,"Alaska",0
"621",2020-03-09,"Alaska",0
"622",2020-03-10,"Alaska",0
"623",2020-03-11,"Alaska",0
"624",2020-03-12,"Alaska",0
"625",2020-03-13,"Alaska",1
"626",2020-03-14,"Alaska",1
"627",2020-03-15,"Alaska",1
"628",2020-03-16,"Alaska",1
"629",2020-03-17,"Alaska",4
"630",2020-03-18,"Alaska",9
"631",2020-03-19,"Alaska",12
"632",2020-03-20,"Alaska",15
"633",2020-03-21,"Alaska",16
"634",2020-03-22,"Alaska",26
"635",2020-03-23,"Alaska",39
"636",2020-03-24,"Alaska",43
"637",2020-03-25,"Alaska",50
"638",2020-03-26,"Alaska",64
"639",2020-03-27,"Alaska",75
"640",2020-03-28,"Alaska",92
"641",2020-03-29,"Alaska",111
"642",2020-03-30,"Alaska",119
"643",2020-03-31,"Alaska",129
"644",2020-04-01,"Alaska",142
"645",2020-04-02,"Alaska",150
"646",2020-04-03,"Alaska",161
"647",2020-04-04,"Alaska",172
"648",2020-04-05,"Alaska",187
"649",2020-04-06,"Alaska",193
"650",2020-04-07,"Alaska",215
"651",2020-04-08,"Alaska",228
"652",2020-04-09,"Alaska",238
"653",2020-04-10,"Alaska",249
"654",2020-04-11,"Alaska",261
"655",2020-04-12,"Alaska",276
"656",2020-04-13,"Alaska",281
"657",2020-04-14,"Alaska",289
"658",2020-04-15,"Alaska",297
"659",2020-04-16,"Alaska",305
"660",2020-04-17,"Alaska",314
"661",2020-04-18,"Alaska",319
"662",2020-04-19,"Alaska",324
"663",2020-04-20,"Alaska",326
"664",2020-04-21,"Alaska",334
"665",2020-04-22,"Alaska",340
"666",2020-04-23,"Alaska",342
"667",2020-04-24,"Alaska",344
"668",2020-04-25,"Alaska",344
"669",2020-04-26,"Alaska",346
"670",2020-04-27,"Alaska",350
"671",2020-04-28,"Alaska",356
"672",2020-04-29,"Alaska",360
"673",2020-04-30,"Alaska",360
"674",2020-05-01,"Alaska",369
"675",2020-05-02,"Alaska",370
"676",2020-05-03,"Alaska",373
"677",2020-05-04,"Alaska",375
"678",2020-05-05,"Alaska",376
"679",2020-05-06,"Alaska",378
"680",2020-05-07,"Alaska",380
"681",2020-05-08,"Alaska",383
"682",2020-05-09,"Alaska",385
"683",2020-05-10,"Alaska",386
"684",2020-05-11,"Alaska",388
"685",2020-05-12,"Alaska",390
"686",2020-05-13,"Alaska",391
"687",2020-05-14,"Alaska",396
"688",2020-05-15,"Alaska",398
"689",2020-05-16,"Alaska",403
"690",2020-05-17,"Alaska",408
"691",2020-05-18,"Alaska",411
"692",2020-05-19,"Alaska",411
"693",2020-05-20,"Alaska",416
"694",2020-05-21,"Alaska",416
"695",2020-05-22,"Alaska",419
"696",2020-05-23,"Alaska",423
"697",2020-05-24,"Alaska",423
"698",2020-05-25,"Alaska",426
"699",2020-05-26,"Alaska",430
"700",2020-05-27,"Alaska",431
"701",2020-05-28,"Alaska",444
"702",2020-05-29,"Alaska",450
"703",2020-05-30,"Alaska",455
"704",2020-05-31,"Alaska",484
"705",2020-06-01,"Alaska",492
"706",2020-06-02,"Alaska",512
"707",2020-06-03,"Alaska",541
"708",2020-06-04,"Alaska",559
"709",2020-06-05,"Alaska",572
"710",2020-06-06,"Alaska",586
"711",2020-06-07,"Alaska",595
"712",2020-06-08,"Alaska",614
"713",2020-06-09,"Alaska",627
"714",2020-06-10,"Alaska",649
"715",2020-06-11,"Alaska",676
"716",2020-06-12,"Alaska",697
"717",2020-06-13,"Alaska",731
"718",2020-06-14,"Alaska",743
"719",2020-06-15,"Alaska",747
"720",2020-06-16,"Alaska",761
"721",2020-06-17,"Alaska",786
"722",2020-06-18,"Alaska",806
"723",2020-06-19,"Alaska",833
"724",2020-06-20,"Alaska",856
"725",2020-06-21,"Alaska",870
"726",2020-06-22,"Alaska",883
"727",2020-06-23,"Alaska",915
"728",2020-06-24,"Alaska",940
"729",2020-06-25,"Alaska",982
"730",2020-06-26,"Alaska",1012
"731",2020-06-27,"Alaska",1039
"732",2020-06-28,"Alaska",1070
"733",2020-06-29,"Alaska",1096
"734",2020-06-30,"Alaska",1142
"735",2020-07-01,"Alaska",1184
"736",2020-07-02,"Alaska",1235
"737",2020-07-03,"Alaska",1296
"738",2020-07-04,"Alaska",1350
"739",2020-07-05,"Alaska",1382
"740",2020-07-06,"Alaska",1411
"741",2020-07-07,"Alaska",1435
"742",2020-07-08,"Alaska",1485
"743",2020-07-09,"Alaska",1537
"744",2020-07-10,"Alaska",1591
"745",2020-07-11,"Alaska",1683
"746",2020-07-12,"Alaska",1784
"747",2020-07-13,"Alaska",1857
